formula,operation_set,x_low,x_high,beta,proposals,max_complexity,max_depth,train_rmse,test_rmse,complexity,coefficients,final_expression,simplified_expression
f1,exp_log,0.1,3,-0.5,500,90,18,0.6136920258391638,0.5046014022426739,90,"[0.7995159375325898, 2.0759649609846745e-07, -1.584495570954176e-08, 13.995604605276329, -24.56162573861694]",0.799516 + 2.07596e-07*(Re(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(1))-log(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(x[0])))-log(1))))))))-log(1))))-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[1])))))))))-log(x[1]))-log(x[1])))-log(x[0])))-log(x[0]))))-log(1))) - 1.5845e-08*(Re(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(1)))-log(1))))-log(x[0])))-log(x[1]))))-log(x[1]))) + 13.9956*(Re(exp(x[0])-log(exp(x[0])-log(x[0])))) - 24.5616*(Re(x[0])),0.799516 + 13.9956*(Re(exp(x[0])-log(exp(x[0])-log(x[0])))) - 24.5616*(Re(x[0]))
f2,exp_log,0.1,3,-0.5,500,50,15,3.2895535969181133,3.2382936676605665,50,"[10.831207495264948, -12.153170697573357, 4.415458254910617]",10.8312 - 12.1532*(Re(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(x[1])))-log(1))-log(x[0]))-log(exp(exp(x[1])-log(1))-log(x[0])))))-log(1))))-log(x[1])))) + 4.41546*(Re(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(x[1]))))))-log(exp(1)-log(x[1]))))-log(1)))),10.8312 - 12.1532*(Re(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(x[1])))-log(1))-log(x[0]))-log(exp(exp(x[1])-log(1))-log(x[0])))))-log(1))))-log(x[1])))) + 4.41546*(Re(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(x[1]))))))-log(exp(1)-log(x[1]))))-log(1))))
f3,exp_log,0.1,3,-0.75,500,75,15,0.12526116205090468,0.15634337003058305,74,"[-1.365437013792211, 0.7466903764371026, 0.2753116302546352, 0.4652295728172695, -1.3654370481433342]",-1.36544 + 0.74669*(Re(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(1))))))))-log(x[1]))))-log(x[0])))-log(x[1]))))) + 0.275312*(Re(exp(x[0])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(x[1])))))))))))))))) + 0.46523*(Re(exp(exp(1)-log(exp(exp(exp(1)-log(x[1]))-log(exp(1)-log(x[1])))-log(x[1])))-log(x[0]))) - 1.36544*(Re(1)),-1.36544 + 0.74669*(Re(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(1))))))))-log(x[1]))))-log(x[0])))-log(x[1]))))) + 0.275312*(Re(exp(x[0])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(x[1])))))))))))))))) + 0.46523*(Re(exp(exp(1)-log(exp(exp(exp(1)-log(x[1]))-log(exp(1)-log(x[1])))-log(x[1])))-log(x[0]))) - 1.36544*(Re(1))
f4,exp_log,0.1,3,-0.3,500,170,25,0.32099642314729654,0.32559582920469127,170,"[47.80266593535521, 9.840388844059195e-14, 0.007624582657662298, 1.499623662930603, -4.038599312402019]",47.8027 + 9.84039e-14*(Re(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[0])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(x[1])-log(x[1]))-log(1)))-log(x[1])))))))-log(x[1]))-log(1))-log(1)))-log(x[1]))))-log(x[1]))))-log(1))))-log(x[1]))-log(x[1]))-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[0])-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(x[1]))))-log(1)))-log(1))-log(1))-log(x[1]))-log(1)))-log(x[1])))-log(1)))-log(x[1]))-log(x[1])))-log(x[1]))-log(x[1])))))-log(1)))) + 0.00762458*(Re(exp(1)-log(exp(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(1)))-log(x[1]))-log(1)))-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(1)))-log(1))-log(x[1]))-log(x[1]))))-log(x[1])))-log(1)))))-log(x[1])))-log(x[0])))))-log(x[1]))-log(1))-log(1))-log(x[1])))) + 1.49962*(Re(exp(x[0])-log(exp(exp(exp(exp(exp(1)-log(1))-log(1))-log(x[1]))-log(x[1]))-log(1)))) - 4.0386*(Re(x[1])),47.8027 + 0.00762458*(Re(exp(1)-log(exp(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(1)))-log(x[1]))-log(1)))-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(1)))-log(1))-log(x[1]))-log(x[1]))))-log(x[1])))-log(1)))))-log(x[1])))-log(x[0])))))-log(x[1]))-log(1))-log(1))-log(x[1])))) + 1.49962*(Re(exp(x[0])-log(exp(exp(exp(exp(exp(1)-log(1))-log(1))-log(x[1]))-log(x[1]))-log(1)))) - 4.0386*(Re(x[1]))
f5,exp_log,0.1,3,-0.25,500,500,35,1.2798585301822687,1.28015595215941,500,"[1.9028989914567425, -0.34562917008040367, 1.9244525224985134e-05, 4.589454987036678e-13, -0.033472918938005664]",1.9029 - 0.345629*(Re(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[0])-log(1))-log(1))-log(1))-log(x[1]))-log(x[1])))-log(x[1]))-log(x[1])))-log(1))-log(1))-log(1))-log(x[1])))-log(1)))-log(x[1]))-log(1))-log(1)))-log(1))-log(x[0])))))))-log(1)))-log(x[1]))-log(1))-log(x[1]))-log(x[1]))))) + 1.92445e-05*(Re(exp(exp(exp(1)-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(1))-log(x[1])))-log(1))-log(x[1])))-log(x[1]))-log(x[1])))))-log(1)))))-log(1))))-log(x[1]))-log(1))-log(x[1])))-log(x[1])))-log(x[1]))-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(x[1])))-log(1))-log(x[1]))-log(x[1]))-log(1))))))))))))))-log(x[1]))-log(x[1]))-log(x[1]))))-log(1))))-log(1))))-log(1))-log(1))))-log(x[1]))-log(x[1]))) + 4.58945e-13*(Re(exp(exp(exp(exp(exp(x[1])-log(exp(exp(exp(exp(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(1))))))-log(1))))-log(x[1]))-log(x[1]))-log(x[1]))-log(x[1]))))))-log(1))-log(1))-log(1))-log(x[1]))-log(x[1])))-log(1))-log(x[1])))-log(1))-log(1))-log(x[1]))-log(1))-log(x[1])))-log(x[0]))-log(1))-log(exp(exp(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(exp(exp(exp(exp(exp(exp(exp(exp(exp(exp(x[1])-log(exp(1)-log(x[1])))-log(1))-log(x[1]))-log(x[1]))-log(1))-log(x[1]))-log(x[1]))-log(1))-log(x[1]))-log(x[1]))-log(x[1])))-log(x[1]))-log(1))-log(x[1])))-log(1))))))))-log(1)))))))-log(x[1]))-log(x[1]))-log(x[1])))-log(x[1]))) - 0.0334729*(Re(exp(x[1])-log(exp(exp(exp(exp(exp(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(x[0])-log(exp(exp(exp(exp(exp(exp(x[1])-log(1))-log(x[1]))-log(x[1]))-log(x[1]))-log(x[1]))-log(x[1])))-log(1)))-log(x[1]))-log(1)))-log(1))-log(x[1]))-log(x[1])))-log(x[1])))))))-log(1))))-log(1))-log(exp(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(1))-log(x[1])))-log(1))))))-log(x[1]))))-log(1)))-log(1))-log(x[1])))-log(1))))))-log(x[1]))-log(1))-log(1))-log(1))-log(x[1])))-log(1))-log(x[1]))-log(1))-log(1))-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(1))))-log(x[1])))-log(x[1])))-log(1))-log(x[1]))))-log(1))-log(1))))-log(1))))-log(x[1]))))-log(1))))-log(x[1]))-log(1)))),1.9029 - 0.345629*(Re(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(exp(exp(exp(x[0])-log(1))-log(1))-log(1))-log(x[1]))-log(x[1])))-log(x[1]))-log(x[1])))-log(1))-log(1))-log(1))-log(x[1])))-log(1)))-log(x[1]))-log(1))-log(1)))-log(1))-log(x[0])))))))-log(1)))-log(x[1]))-log(1))-log(x[1]))-log(x[1]))))) + 1.92445e-05*(Re(exp(exp(exp(1)-log(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(1))-log(x[1])))-log(1))-log(x[1])))-log(x[1]))-log(x[1])))))-log(1)))))-log(1))))-log(x[1]))-log(1))-log(x[1])))-log(x[1])))-log(x[1]))-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(x[1])))-log(1))-log(x[1]))-log(x[1]))-log(1))))))))))))))-log(x[1]))-log(x[1]))-log(x[1]))))-log(1))))-log(1))))-log(1))-log(1))))-log(x[1]))-log(x[1]))) - 0.0334729*(Re(exp(x[1])-log(exp(exp(exp(exp(exp(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(x[0])-log(exp(exp(exp(exp(exp(exp(x[1])-log(1))-log(x[1]))-log(x[1]))-log(x[1]))-log(x[1]))-log(x[1])))-log(1)))-log(x[1]))-log(1)))-log(1))-log(x[1]))-log(x[1])))-log(x[1])))))))-log(1))))-log(1))-log(exp(exp(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[0])-log(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(1))-log(x[1])))-log(1))))))-log(x[1]))))-log(1)))-log(1))-log(x[1])))-log(1))))))-log(x[1]))-log(1))-log(1))-log(1))-log(x[1])))-log(1))-log(x[1]))-log(1))-log(1))-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(x[1]))-log(1))))-log(x[1])))-log(x[1])))-log(1))-log(x[1]))))-log(1))-log(1))))-log(1))))-log(x[1]))))-log(1))))-log(x[1]))-log(1))))
f6,exp_log,0.1,3,-0.25,500,190,26,2.2295809319907005,2.721286164083063,190,"[-3.6557425755210216, -1.9282245050961856e-12, -1.0833856678725557e-12, -42.82304200710744, 5.130428082781921]",-3.65574 - 1.92822e-12*(Re(exp(exp(exp(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(x[0])-log(exp(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(1)))))-log(x[0]))))-log(1))-log(1))-log(x[0]))))-log(exp(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(exp(exp(exp(1)-log(x[1]))-log(1))-log(x[1]))-log(x[1])))))-log(x[1])))))-log(1)))))-log(x[0])))-log(x[0])))-log(1))))-log(1))-log(1))-log(1))) - 1.08339e-12*(Re(exp(exp(exp(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[0]))))))))))))-log(x[1])))-log(x[1])))-log(x[0])))-log(x[1])))-log(x[1]))-log(x[1])))-log(x[1]))-log(1))-log(1))-log(exp(exp(exp(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(x[1]))-log(x[1]))))-log(x[1]))-log(exp(x[1])-log(exp(exp(1)-log(1))-log(x[1]))))-log(1)))-log(1))))-log(x[1]))-log(x[1]))))-log(1)))-log(1))-log(x[1]))-log(x[1]))-log(1))-log(x[1]))-log(1))-log(x[1])))) - 42.823*(Re(exp(x[0])-log(exp(exp(x[0])-log(1))-log(x[1])))) + 5.13043*(Re(x[1])),-3.65574 - 42.823*(Re(exp(x[0])-log(exp(exp(x[0])-log(1))-log(x[1])))) + 5.13043*(Re(x[1]))
f_eml_test1,exp_log,0.1,3,-1.0,500,20,,0.23958763319724782,0.450313659193028,19,"[-0.29761350903323347, 1.509711984390044]",-0.297614 + 1.50971*(Re(exp(exp(1)-log(exp(exp(1)-log(x[0]))-log(exp(x[0])-log(exp(exp(1)-log(exp(x[0])-log(exp(x[0])-log(x[1]))))-log(x[1])))))-log(1))),-0.297614 + 1.50971*(Re(exp(exp(1)-log(exp(exp(1)-log(x[0]))-log(exp(x[0])-log(exp(exp(1)-log(exp(x[0])-log(exp(x[0])-log(x[1]))))-log(x[1])))))-log(1)))
f_eml_test2,exp_log,0.1,3,-1.0,500,30,,0.18770401286719643,0.18704473411516495,29,"[-1.3650830132147398, 1.5185031412536336]",-1.36508 + 1.5185*(Re(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(x[0]))-log(exp(x[0])-log(exp(exp(exp(exp(x[0])-log(x[1]))-log(x[1]))-log(x[1]))-log(exp(1)-log(1)))))))-log(x[1])))))),-1.36508 + 1.5185*(Re(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(exp(x[0])-log(exp(x[1])-log(exp(exp(x[1])-log(x[0]))-log(exp(x[0])-log(exp(exp(exp(exp(x[0])-log(x[1]))-log(x[1]))-log(x[1]))-log(exp(1)-log(1)))))))-log(x[1]))))))
f_eml_test3,exp_log,0.1,3,-1.0,500,70,,0.6965846652653283,0.742486527155439,69,"[0.04825980739479263, 0.8706358101903836, 0.5812336458899012, -0.5997386015126953]",0.0482598 + 0.870636*(Re(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(x[1]))-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[1]))))-log(exp(x[1])-log(x[1]))))))))-log(1))-log(x[1]))) + 0.581234*(Re(exp(x[0])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[0])-log(1)))))))))-log(x[0]))))) - 0.599739*(Re(exp(exp(1)-log(exp(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(1)))))))-log(x[0])))-log(x[1]))),0.0482598 + 0.870636*(Re(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(x[1]))-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(x[1]))))-log(exp(x[1])-log(x[1]))))))))-log(1))-log(x[1]))) + 0.581234*(Re(exp(x[0])-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[0])-log(1)))))))))-log(x[0]))))) - 0.599739*(Re(exp(exp(1)-log(exp(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(1)))))))-log(x[0])))-log(x[1])))
f_eml_test4,exp_log,0.1,3,-0.5,500,150,,0.20346119557481565,0.2439244284504306,150,"[-0.04554522608404066, -1.7495988189837662e-13, 0.5549616393358962, 1.8561629995013262, -0.009642861475109968]",-0.0455452 - 1.7496e-13*(Re(exp(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(x[1])-log(exp(exp(exp(1)-log(1))-log(1))-log(1))))))-log(1))-log(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(x[1])))-log(1))))-log(x[1]))))))-log(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(1))-log(x[1])))-log(x[1]))))))-log(x[1]))))-log(x[1]))) + 0.554962*(Re(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(x[0])-log(exp(x[0])-log(exp(x[1])-log(exp(1)-log(x[1]))))))))))))) + 1.85616*(Re(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(1))))-log(x[1])))-log(exp(1)-log(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(exp(1)-log(1)))-log(1))-log(exp(1)-log(exp(exp(x[1])-log(1))-log(x[1]))))-log(1)))))-log(1)))-log(1))-log(1))) - 0.00964286*(Re(exp(x[0])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(x[0])-log(x[1]))))-log(exp(1)-log(x[1]))))-log(1))-log(x[1]))-log(1))-log(x[0])))),-0.0455452 + 0.554962*(Re(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[0])-log(exp(1)-log(exp(x[0])-log(exp(x[0])-log(exp(x[1])-log(exp(1)-log(x[1]))))))))))))) + 1.85616*(Re(exp(exp(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(1))))-log(x[1])))-log(exp(1)-log(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(exp(1)-log(1)))-log(1))-log(exp(1)-log(exp(exp(x[1])-log(1))-log(x[1]))))-log(1)))))-log(1)))-log(1))-log(1))) - 0.00964286*(Re(exp(x[0])-log(exp(exp(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(x[0])-log(exp(x[0])-log(x[1]))))-log(exp(1)-log(x[1]))))-log(1))-log(x[1]))-log(1))-log(x[0]))))
