formula,operation_set,x_low,x_high,beta,proposals,max_complexity,max_depth,train_rmse,test_rmse,complexity,coefficients,final_expression,simplified_expression
f1,default,0.1,5.9,-1.0,500,,,0.01661919230914784,0.017508980637374758,17,"[-0.02899228711135038, 1.9524188930658946, -0.6652637855735389, 0.15622331652693927]",-0.0289923 + 1.95242*(-((-0.2534*(x[1])+0.8523)*(x[1]))) - 0.665264*((0.9749*((x[0])^2)+0.0163)*(x[0]+x[0])) + 0.156223*(((x[0]+x[0])^2)^2),2.49957306443103*x0**4 - 1.29713132911129*x0**3 - 0.0216875994096974*x0 + 0.494742947502898*x1**2 - 1.66404662256006*x1 - 0.0289922871113504
f1,paper,0.1,5.9,-1.0,500,,,0.0989491782891705,0.10582103329808955,48,"[20.316294868804107, -12.132831599210459, 0.3638312175375625, 0.03726857658800259]",20.3163 - 12.1328*(-(-1.8611*(-(-0.1363*(0.8742*(-(((-(x[0]))*(x[0]))*(x[0])))+0.8778)+0.0697))+-1.5906)) + 0.363831*(2.048*(-(x[1])+(((x[0])*(x[0]))*(3.3549*(x[0])+1.8672))*(x[0]))+-1.6234) + 0.0372686*(-((x[1]+exp(1.88*((x[1]+x[1])*(-(x[1])))+3.9412)+x[1]+x[1]+x[1]+(x[1])*(x[1]))*(-(x[1])))),2.49982433631594*x0**4 - 1.29923443404476*x0**3 + 0.0372685765880026*x1**3 + 0.14907430635201*x1**2 - 0.745126333516928*x1 + 1.91859901860007*x1*exp(-3.76*x1**2) - 0.70058997405106
f1,exp_log,0.1,5.9,-0.5,500,250,35,62.58166674981208,80.48665233816116,127,"[16.358800761603902, 1.269315007198674e-11, 8.390962443818426, -9.733640598550657]",16.3588 + 1.26932e-11*(Re(exp(exp(x[1])-log(exp(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(1)-log(1))-log(1))-log(1))))))-log(1))))))-log(x[1]))-log(x[1]))-log(1)))-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(x[1])))))))))))-log(1))))-log(1)))))))))))))-log(1))))))-log(1))))))) + 8.39096*(Re(exp(x[0])-log(1))) - 9.73364*(Re(exp(exp(1)-log(exp(x[0])-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(1))-log(x[1]))-log(1)))))-log(1))))-log(x[1]))),Skipped (EML set)
f2,default,0.1,5.9,-1.0,500,,,3.0606297396669314e-05,3.3437102860187455e-05,8,"[-10.697793766856194, 2.227541535839677, 3.9783013917641883, 7.999998510719812]",-10.6978 + 2.22754*(1.8054*((x[1])^3)+-1.9314) + 3.9783*((x[1])^3) + 8*((x[0])*(x[0])),7.99999851071981*x0**2 + 7.99990488056914*x1**3 - 15.0000674891769
f2,paper,0.1,5.9,-1.0,500,,,5.4759565566507176e-05,5.213180010255219e-05,15,"[-14.999939850232067, 5.387573070417063e-06, -7.999999044417114, -7.999999132721874]",-14.9999 + 5.38757e-06*(-1.7645*(1/[x[0]])+1.4799) - 8*((1/[1/[x[0]]])*(-(x[0]))) - 8*(((x[1])*(-(x[1])))*(x[1])),7.99999904441711*x0**2 + 7.99999913272187*x1**3 - 14.9999318771627 - 9.50637268275091e-6/x0
f2,exp_log,0.1,5.9,-0.5,500,100,25,51.14151473146853,55.53685531115955,97,"[-33.70879445698665, 4.198011004075342, -11.122032715318072, 42.97796770927331]",-33.7088 + 4.19801*(Re(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(1))))))))-log(1))))))))))))-log(x[1]))-log(1)))))) - 11.122*(Re(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(x[1])-log(1)))-log(x[1]))-log(x[1])))-log(1)))-log(1)))))))))-log(1))-log(x[1])))-log(x[1]))-log(1))))-log(1)))) + 42.978*(Re(x[0])),Skipped (EML set)
f3,default,0.1,5.9,-1.0,500,,,9.606281697719561e-06,1.0150562077088962e-05,23,"[-0.9868475812791928, -0.09070019042451699, 0.7196073531879575, -0.4999996149717355]",-0.986848 - 0.0907002*(2.2051*(-((x[0])^3+-(x[1])))+0.8375) + 0.719607*(-(-0.6948*(-(-(-(x[0]+x[1]+x[1]))))+-1.4769)) - 0.5*(-(((x[1])*(x[1]))*(x[1]))),0.200002989905102*x0**3 - 0.499983188994993*x0 + 0.499999614971736*x1**3 - 1.19996936789509*x1 - 2.08908364311977e-5
f3,paper,0.1,5.9,-1.0,500,,,0.04315324489736359,0.04496517113876266,30,"[1.2336728423889554, -1.2197863087121572, -0.20161812626270487, -0.45312430495051764]",1.23367 - 1.21979*(x[1]+exp(-0.0499*(0.5267*(0.4512*(x[1])+0.2191)+-0.0026)+0.3766)) - 0.201618*(((x[0])*(-(x[0])))*(x[0])+1.8039*(((1/[x[1]])*(x[0]))*(x[1]))+-2.5747+x[0]) - 0.453124*(1.1037*(((x[1])*(-(x[1])))*(x[1]))+-0.2785),0.201618126262705*x0**3 - 0.565317064227998*x0 + 0.500113295373886*x1**3 - 1.21978630871216*x1 + 1.87897415100626 - 1.76764290694737*exp(-0.011858587296*x1)
f3,exp_log,0.1,5.9,-0.75,500,180,30,2.875905346564093,3.3278501928464292,179,"[13.76920478940897, 0.1290243030632144, -7.441140288182582, 0.20760751642409467]",13.7692 + 0.129024*(Re(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(1)))-log(exp(x[1])-log(x[1]))))))))-log(1)))-log(x[1]))))))))))))))))-log(1)))))) - 7.44114*(Re(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[0])-log(x[0]))-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[0])-log(exp(exp(x[1])-log(exp(1)-log(1)))-log(1)))-log(1))))-log(1)))-log(1)))))))))-log(1)))))-log(x[1])))))-log(x[1]))-log(1)))))) + 0.207608*(Re(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(exp(x[0])-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[0])-log(1)))-log(x[0]))))))))))))))))))))-log(1))))-log(x[0]))-log(1)))),Skipped (EML set)
f4,default,0.1,5.9,-1.0,500,,,1.040969916018176e-05,1.0086332716853796e-05,10,"[1.007879720069468, 0.7479896732693118, 5.258045757057274, 0.7520102110938681]",1.00788 + 0.74799*(exp(x[0])) + 5.25805*(0.8079*(cos(x[1]))+-0.1917) + 0.75201*(cos(x[1])+exp(x[0])),1.49999988436318*exp(x0) + 4.99998537822044*cos(x1) - 8.76515584113946e-5
f4,paper,0.1,5.9,-1.0,500,,,0.1690241270040518,0.2785061655670552,39,"[-0.6526297372415684, 0.36672186526868966, 0.11022867234645274, 2.792663340189928]",-0.65263 + 0.366722*((1/[0.9552*(1/[(-0.1772*(-(x[1]))+-0.4609)*((-(x[1]))*(x[1]))])+-0.2818])*((x[1])*(-(x[1])))) + 0.110229*(-0.586*((3.746*(1.8713*(x[1]+x[1])+-1.0325)+-1.4226)*(x[1]+1/[x[1]]))+-0.4649+exp(x[0])) + 2.79266*(0.4976*(-(1/[-(exp(-(x[0])))]+x[1]))+2.1103),-0.905593671452159*x1**2 + 0.36672186526869*x1**2/(0.2818 + 0.9552/(0.1772*x1**3 - 0.4609*x1**2)) - 1.04790472259416*x1 + 1.49985795042496*exp(x0) + 4.28388872833521 + 0.341724555484351/x1
f4,exp_log,0.1,5.9,-0.3,500,250,40,1.4617063488865394,1.5440988007395873,249,"[-14.953299403881829, 0.053535919163917936, 1.3131897758809516, 1.4992470769242408]",-14.9533 + 0.0535359*(Re(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(exp(1)-log(exp(exp(exp(x[0])-log(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(x[0])))-log(1)))))-log(1)))-log(x[1]))-log(x[0])))))-log(1))-log(1)))-log(x[1]))-log(x[1])))-log(1))))-log(x[0])))-log(1)))))-log(x[0]))-log(1))))-log(1)))-log(x[1])))) + 1.31319*(Re(exp(exp(1)-log(1))-log(exp(1)-log(exp(exp(exp(x[1])-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(exp(x[1])-log(exp(exp(1)-log(exp(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(1)-log(exp(exp(exp(exp(exp(x[1])-log(1))-log(1))-log(x[0]))-log(x[1]))-log(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(1)-log(x[1])))))))-log(x[1]))))))))-log(1))))))-log(x[1]))-log(x[1])))-log(x[1])))-log(1)))-log(x[1])))-log(x[1])))-log(x[1]))))))-log(x[1])))-log(x[1]))-log(1))))) + 1.49925*(Re(exp(x[0])-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(x[1])))-log(exp(x[1])-log(exp(exp(1)-log(exp(exp(1)-log(exp(x[1])-log(exp(1)-log(exp(exp(1)-log(exp(exp(exp(exp(exp(exp(1)-log(exp(1)-log(exp(x[1])-log(exp(x[1])-log(exp(1)-log(exp(1)-log(exp(exp(x[1])-log(exp(x[1])-log(exp(exp(exp(exp(x[1])-log(exp(1)-log(exp(exp(x[1])-log(x[1]))-log(1))))-log(x[1]))-log(x[1]))-log(1))))-log(x[1]))))))))-log(x[1]))-log(x[1]))-log(1))-log(1))-log(x[1])))-log(1)))))-log(x[1])))-log(x[1])))))-log(x[1])))))-log(x[1])))))),Skipped (EML set)
f5,default,0.1,5.9,-1.0,500,,,1.0564012817690994e-07,1.0311289974286308e-07,12,"[3.660233360847087e-08, 1.1122830917258232e-11, 2.985919465751816e-08, 5.999999792326549]",3.66023e-08 + 1.11228e-11*(0.5364*((1/[x[0]])^3)+0.9111) + 2.98592e-08*(0.8399*(0.1815*(x[1])+-0.3025)+-1.8911) + 6*((sin(x[0]))*(cos(x[1]))),4.55179087310218e-9*x1 + 5.99999979232655*sin(x0)*cos(x1) - 2.744057351895e-8 + 5.96628650401732e-12/x0**3
f5,paper,0.1,5.9,-1.0,500,,,2.7745402061031688,2.8503204264011837,17,"[-0.7121462236100646, -0.0012298687045110576, 0.09093401216732315, 0.00035558258482289975]",-0.712146 - 0.00122987*((exp(x[0]))*((x[1]+x[1])*(-(x[1])))) + 0.090934*(x[1]+x[1]) + 0.000355583*(-(exp(x[1]+x[0]))),0.00245973740902212*x1**2*exp(x0) + 0.181868024334646*x1 - 0.0003555825848229*exp(x0 + x1) - 0.712146223610065
